song,artist,decade,total_lines,unique_lines,total_words,unique_words,top_common_words,top_uncommon_words,neg,neu,pos,compound
joanne,lady gaga,2010,24,14,174,99,"goin',you,you're,do,where,girl,think,i,my,know","goin',girl,think,know,stay,can't,see,take,hand,joanne",0.018,0.89,0.093,0.9286
prayer in c,lilly wood the prick,2010,19,18,110,104,"you,don't,think,will,forgive,and,could,be,when,yah","think,forgive,could,yah,youou,see,e5x5555x3x3333x,never,said,word",0.128,0.795,0.077,-0.7139
castle of glass,linkin park,2010,24,16,169,113,"to,me,the,for,you,see,a,in,cause,i'm","see,cause,i'm,crack,castle,glass,hardly,anything,take,wash",0.067,0.898,0.034,-0.765
the messenger,linkin park,2010,26,18,105,83,"us,you,when,your,keeps,kind,ooooooooooooooo,you're,to,life","us,keeps,kind,ooooooooooooooo,life,leaves,blind,love,0,they'll",0.175,0.59,0.235,0.891
romance is boring,los campesinos,2010,28,20,237,159,"to,i,that,is,each,other,romance,boring,are,and","romance,boring,i'm,we're,pouting,sleep,waking,still,yawning,proving",0.106,0.74,0.154,0.9338
two of us,louis tomlinson,2010,54,32,496,263,"i,the,you,be,of,one,for,i'll,life,two","one,i'll,life,two,us,day,living,know,i'm,keep",0.059,0.834,0.107,0.9825
night shift,lucy dacus,2010,37,25,350,233,"i,you,the,to,and,your,in,a,it,but","i'll,feel,help,take,never,let,leave,got,9,5",0.158,0.633,0.209,0.9788
chamber of reflection,mac demarco,2010,15,13,62,55,"alone,again,that,spend,some,time,the,understand,better,men","alone,spend,time,understand,better,men,away,getting,ready,day",0.341,0.539,0.12,-0.9022
my kind of woman,mac demarco,2010,31,24,146,99,"my,me,you're,oh,of,and,really,kind,woman,please","oh,really,kind,woman,please,baby,i'm,next,girl,hands",0.076,0.818,0.106,0.4408
the silence,manchester orchestra,2010,42,37,305,280,"you,i,me,the,in,to,that,but,was,there","silence,let,nothing,lost,need,take,know,amplified,justified,way",0.108,0.785,0.107,0.3972
show me how,men i trust,2010,17,14,108,85,"me,im,how,you,show,of,but,i,tell,the","im,show,tell,away,turning,around,visions,understand,friend,dreaming",0.0,0.723,0.277,0.9878
waymaker,michael w smith,2010,84,23,497,145,"you,are,i,is,working,waymaker,that,who,never,in","working,waymaker,never,worship,miracle,worker,stop,god,promise,keeper",0.04,0.639,0.32,0.9993
class of 2013,mitski,2010,14,14,87,87,"mom,i,for,can,ill,to,and,sleep,it,a","mom,ill,sleep,would,leave,i'm,tired,house,tonight,alright",0.187,0.769,0.044,-0.875
washing machine heart,mitski,2010,19,10,96,57,"not,me,why,i,my,baby,you,do,mi,ti","baby,mi,ti,toss,dirty,shoes,washing,machine,heart,bang",0.066,0.894,0.04,-0.128
your best american girl,mitski,2010,22,18,170,138,"i,but,do,the,your,mother,me,you're,be,and","mother,approve,raised,think,spoon,night,birds,i'm,i'll,allamerican",0.056,0.865,0.079,0.709
lo que construimos,natalia lafourcade,2010,43,16,226,96,"lo,que,se,construimos,acabó,no,el,sólo,nuestro,fue","lo,que,se,construimos,acabó,el,sólo,nuestro,fue,lleva",0.101,0.879,0.02,-0.9371
december,neck deep,2010,43,28,320,213,"i,the,a,you,your,remember,that,in,on,out","remember,floor,last,thing,i'm,hope,get,ballroom,perfect,house",0.1,0.734,0.166,0.9772
put a little love on me,niall horan,2010,42,25,342,208,"on,i,the,love,put,a,me,we,you,are","love,put,little,still,'cause,lights,wrong,heart,one,need",0.15,0.669,0.181,0.9817
if i had a gun,noel gallaghers high flying birds,2010,27,19,239,163,"the,you,to,i,and,for,aaahhh,if,a,i'd","aaahhh,i'd,would,aaahhhhh,x,eyes,always,followed,around,room",0.077,0.837,0.085,0.4588
lover please stay,nothing but thieves,2010,26,21,153,130,"you,me,i,lover,from,take,what,want,need,whatever","lover,take,want,need,whatever,please,stay,feel,oh,slipping",0.044,0.669,0.287,0.9916
drag me down,one direction,2010,66,21,364,151,"me,nobody,can,drag,down,you,a,all,the,my","nobody,drag,never,,life,stood,one,else,ever,behind",0.124,0.756,0.12,0.8116
perfect,one direction,2010,46,24,425,232,"you,if,like,the,baby,perfect,i,and,you're,to","like,baby,perfect,i'm,one,might,never,can't,time,oh",0.03,0.654,0.315,0.9994
counting stars,onerepublic,2010,74,28,458,172,"i've,been,that,be,counting,the,could,we'll,stars,but","i've,counting,could,we'll,stars,money,take,lately,losing,sleep",0.157,0.739,0.104,-0.9731
i lived,onerepublic,2010,50,31,262,161,"i,that,you,all,hope,the,did,it,every,whooooah","hope,every,whooooah,broken,bone,give,could,yeah,ohoh,owned",0.15,0.672,0.178,0.6997
to the bone,pamungkas,2010,43,38,255,219,"you,i,the,to,oh,bone,want,that,i'm,all","oh,bone,want,i'm,maybe,ever,feel,love,see,take",0.087,0.755,0.157,0.9575
house of memories,panic at the disco,2010,63,38,274,170,"wooooohhh,your,you,i,it,memories,a,house,me,and","wooooohhh,memories,house,become,ohhh,baby,built,take,picture,shake",0.072,0.821,0.107,0.9163
aint it fun,paramore,2010,60,24,397,168,"your,the,don't,world,in,it,to,you,on,real","world,real,ain't,go,crying,mama,'cause,fun,good,living",0.164,0.718,0.118,-0.9665
alrighty aphrodite,peach pit,2010,19,15,111,87,"in,you,a,your,the,i'd,if,i,skin,known","i'd,skin,known,sold,maybe,let,waste,another,guy,well",0.078,0.885,0.038,-0.6705
tommys party,peach pit,2010,24,22,228,212,"to,i,you,go,like,there,how'd,the,that,but","go,like,how'd,used,hey,bud,last,night,pretty,see",0.079,0.797,0.124,0.9034
gone gone gone,phillip phillips,2010,55,29,361,199,"you,gone,for,you're,long,i,after,a,baby,love","gone,long,baby,love,like,drum,beating,would,stop,need",0.122,0.692,0.186,0.9483
lover boy,phum viphurit,2010,21,17,105,85,"the,if,away,me,you,and,i,my,through,to","away,darling,got,trust,issues,warning,stay,meet,rendezvous,take",0.056,0.701,0.242,0.9774
nights like these,pigeon pit,2010,28,20,298,221,"the,my,on,and,you,i,up,to,your,with","place,chain,smoking,like,fuck,back,shit,keep,stayed,kitchen",0.119,0.814,0.067,-0.8963
rhythm of love,plain white ts,2010,38,30,260,196,"the,to,love,and,,bah,mine,rhythm,of,all","love,,bah,mine,rhythm,low,sway,sun,play,music",0.053,0.702,0.245,0.9969
first class,rainbow kitten surprise,2010,56,29,490,280,"you,say,i,that,love,and,to,all,you're,it","say,love,like,e0030305,we'll,i'll,used,got,get,every",0.171,0.675,0.154,-0.8129
build your kingdom here,rend collective,2010,57,35,260,176,"your,we,the,and,our,kingdom,us,church,build,here","kingdom,us,church,build,set,pray,hearts,fire,come,let",0.15,0.64,0.21,0.9685
sunflower,rex orange county,2010,49,36,380,275,"i,down,to,you,my,and,the,du,for,a","du,i'm,till,know,waiting,minute,sun's,seen,eyes,make",0.099,0.837,0.065,-0.9351
my heart is buried in venice,ricky montgomery,2010,22,18,149,123,"to,me,my,for,heart,is,buried,in,venice,someone","heart,buried,venice,someone,waiting,take,home,say,oh,leave",0.05,0.895,0.055,0.1818
i get to love you,ruelle,2010,37,20,218,119,"i,you,to,love,get,its,oh,cant,believe,true","love,get,oh,cant,believe,true,im,forever,ill,promise",0.069,0.602,0.329,0.9971
atlantis,seafret,2010,102,32,554,178,"it,my,we,i,and,up,in,the,down,to","oh,can't,built,save,us,atlantis,pull,heart,head,said",0.151,0.846,0.004,-0.9974
ham kummst,seiler und speer,2010,30,25,278,234,"ham,woa,mi,waunst,amoi,kummst,und,a,ned,letzte","ham,woa,mi,waunst,amoi,kummst,und,ned,letzte,nocht",0.066,0.934,0.0,-0.9538
simple man,shinedown,2010,35,23,219,149,"you,and,be,a,son,if,do,this,simple,kind","son,simple,kind,man,love,find,something,understand,come,forget",0.013,0.818,0.169,0.9871
animal,sir chloe,2010,21,9,150,68,"me,to,make,behave,like,an,animal,i,tried,but","make,behave,like,animal,tried,give,want,number,one,i'm",0.053,0.629,0.318,0.9928
hollywood hills,sunrise avenue,2010,32,21,223,150,"bye,im,gonna,the,i,you,hollywood,hills,back,wherever","bye,im,gonna,hollywood,hills,back,wherever,go,come,miss",0.065,0.791,0.144,0.9786
better than revenge,taylor swift,2010,59,38,476,344,"you,she,she's,the,i,and,on,better,do,him","better,think,whoa,like,keep,mind,know,stealing,things,i'm",0.087,0.772,0.14,0.9779
mean,taylor swift,2010,51,41,396,315,"you,be,and,mean,all,me,is,so,a,big","mean,big,i'll,ever,gonna,someday,gotta,can't,know,ol'",0.09,0.888,0.022,-0.9847
never grow up,taylor swift,2010,60,41,392,286,"you,up,grow,ever,your,i,don't,and,oh,little","grow,ever,oh,little,darlin',stay,never,i'd,could,dont",0.009,0.867,0.123,0.9897
state of grace,taylor swift,2010,30,21,187,132,"and,never,the,is,you,this,a,we,i,saw","never,saw,coming,i'll,love,good,right,know,go,alone",0.05,0.7,0.249,0.9947
robbers,the 1975,2010,30,25,194,170,"you,stay,and,one,more,never,a,give,now,if","stay,one,never,give,got,gun,he's,i'll,know,look",0.154,0.725,0.121,-0.9116
taking pictures of you,the kooks,2010,20,13,161,104,"you,i,a,to,do,taking,pictures,of,have,my","taking,pictures,remember,secret,tell,away,light,need,exquisite,visions",0.015,0.907,0.078,0.8126
gloria,the lumineers,2010,31,21,191,132,"gloria,you,me,i,enough,on,and,lie,awake,the","gloria,enough,lie,awake,would,heaven,ohohohoh,get,back,two",0.049,0.802,0.149,0.9648
sweater weather,the neighbourhood,2010,61,39,344,240,"the,whoa,my,i,you,in,your,and,no,of","whoa,sweater,cold,hands,one,'cause,holes,love,let,hold",0.065,0.823,0.112,0.9744
kansas city,the new basement tapes,2010,30,16,231,122,"you,i,and,to,just,im,going,back,kansas,city","im,going,back,kansas,city,love,dear,long,keep,singing",0.032,0.765,0.203,0.9936
for the first time,the script,2010,50,23,366,223,"up,we,were,ooooooooooh,these,but,all,a,got,to","ooooooooooh,got,times,hard,us,drinking,things,make,work,feeling",0.134,0.764,0.102,-0.7687
hall of fame,the script,2010,54,41,283,228,"be,the,you,could,your,can,a,of,and,gonna","could,gonna,hall,fame,know,name,world's,champion,beat,cause",0.033,0.747,0.22,0.9958
heal,tom odell,2010,16,8,100,53,"heal,and,take,my,like,an,takes,the,tell,me","heal,take,like,takes,tell,things,last,empty,mind,pain",0.15,0.739,0.111,-0.5719
the judge,twenty one pilots,2010,74,36,382,203,"na,oh,i,the,me,my,you're,judge,no,set","na,oh,judge,set,free,know,good,i'm,soul's,freezing",0.137,0.686,0.177,0.9819
what you know,two door cinema club,2010,34,21,223,133,"i,you,to,want,the,time,and,it,what,just","want,time,alone,known,whole,know,tell,can't,say,yeah",0.112,0.779,0.109,-0.8317
summer of love,u2,2010,31,21,189,132,"the,of,summer,in,love,one,before,a,that,i","summer,love,one,thinking,bout,west,coast,everyone,knows,shadows",0.101,0.73,0.17,0.9605
andromeda,weyes blood,2010,37,35,206,199,"i,to,you,me,it's,time,a,the,think,try","time,think,try,i'm,something,calling,let,dare,know,love",0.067,0.751,0.182,0.981
renegades,x ambassadors,2010,29,19,147,105,"hey,renegades,and,living,like,we're,the,i,said,all","hey,renegades,living,like,we're,said,hail,time,e33,away",0.059,0.803,0.138,0.8658
unsteady,x ambassadors,2010,11,6,173,98,"hold,on,a,little,unsteady,me,to,cause,i'm,don't","hold,little,unsteady,cause,i'm,love,let,go,alone,feel",0.057,0.846,0.097,0.9176
knee deep,zac brown band,2010,44,33,335,243,"the,a,in,i,my,gonna,so,me,never,it","gonna,never,sky,world,got,think,might,paradise,away,sweet",0.08,0.704,0.216,0.9956
perfect,ed sheeran,2010,30,26,294,254,"i,you,in,my,the,a,to,love,darling,just","love,darling,found,perfect,baby,i'm,dancing,dark,arms,barefoot",0.015,0.68,0.304,0.9987
riptide,vance joy,2010,39,21,357,180,"i,the,you're,to,and,ooh,gonna,my,in,wanna","ooh,gonna,wanna,dark,running,got,lump,throat,'cause,sing",0.068,0.798,0.134,0.9801
all too well,taylor swift,2010,42,41,465,453,"i,you,it,and,all,the,was,there,in,remember","remember,well,like,'cause,oh,i'm,'bout,lost,long,maybe",0.058,0.796,0.146,0.9925
let her go,passenger,2010,48,25,374,172,"you,when,only,her,the,go,know,let,love,low","go,know,let,love,low,need,light,burning,miss,sun",0.108,0.713,0.179,0.991
someone like you,adele,2010,39,24,365,217,"you,i,it,in,but,sometimes,the,for,i'll,that","sometimes,i'll,lasts,love,hurts,like,ou,nothing,stea,never",0.161,0.644,0.195,0.9595
when i was your man,bruno mars,2010,29,22,307,235,"i,you,to,my,all,the,when,it,your,but","ooh,cause,oooh,every,dancing,man,like,flowers,hand,hours",0.092,0.708,0.201,0.9903
thinking out loud,ed sheeran,2010,42,32,315,247,"your,and,the,my,love,we,me,of,i,in","love,baby,i'm,thinking,maybe,found,right,still,loving,heart",0.049,0.727,0.224,0.997
photograph,ed sheeran,2010,46,30,321,213,"you,me,the,can,for,i,and,to,only,it","wait,come,home,keep,inside,loving,hurt,thing,eyes,never",0.063,0.778,0.159,0.9902
all of me,john legend,2010,54,31,347,213,"all,you,my,me,of,and,give,your,i,i'm","give,i'm,cause,i'll,even,mind,loves,love,curves,edges",0.102,0.711,0.187,0.9924
when we were young,adele,2010,52,31,387,236,"we,were,you,like,it,a,when,young,me,just","like,young,movie,song,case,getting,old,still,god,reminds",0.097,0.719,0.184,0.9873
someone you loved,lewis capaldi,2010,31,18,323,194,"to,i,the,you,and,me,all,somebody,kinda,it","somebody,kinda,let,guard,pulled,rug,getting,used,someone,loved",0.067,0.799,0.134,0.9811
love yourself,justin bieber,2010,44,24,442,246,"you,and,i,that,my,on,should,love,the,think","love,think,still,like,go,i'm,cause,baby,somethin',oh",0.126,0.718,0.157,0.9833
i see fire,ed sheeran,2010,47,35,307,230,"the,fire,i,see,and,mountain,we,in,burn,oh","fire,see,mountain,burn,oh,burning,watch,flames,auburn,side",0.203,0.78,0.018,-0.9946
rolling in the deep,adele,2010,46,33,520,346,"the,you,had,gonna,me,it,in,rolling,deep,of","gonna,rolling,deep,wish,never,met,tears,fall,played,heart",0.091,0.723,0.187,0.9969
talking to the moon,bruno mars,2010,41,27,218,143,"the,i,to,talking,you're,you,ahh,moon,know,somewhere","talking,ahh,moon,know,somewhere,back,i'm,night,tryna,get",0.124,0.783,0.094,-0.8442
mistletoe,justin bieber,2010,50,23,320,159,"the,you,with,i,mistletoe,be,under,shawty,but,me","mistletoe,shawty,playing,winter,snow,imma,love,oh,beautiful,time",0.016,0.76,0.224,0.9976
another love,tom odell,2010,41,22,288,180,"love,another,i,my,all,been,tears,have,used,wanna","love,another,tears,used,wanna,know,cry,uuuhuuuhuuup,ooohoooh,i'll",0.159,0.504,0.337,0.9985
tennessee whiskey,chris stapleton,2010,31,18,200,120,"as,youre,tennessee,whiskey,the,love,e,a,smooth,your","youre,tennessee,whiskey,love,e,smooth,0h2,sweeeeet,strawberry,wine",0.012,0.773,0.215,0.9938
wagon wheel,darius rucker,2010,43,27,345,245,"me,rock,momma,the,a,i,like,and,hey,to","rock,momma,like,hey,south,way,wagon,wheel,feel,wind",0.045,0.818,0.137,0.9814
i love you so,the walters,2010,20,13,174,133,"i,you,love,so,me,let,go,my,and,please","love,let,go,please,i'm,need,i've,gotta,get,someone",0.068,0.535,0.397,0.9982
say you wont let go,james arthur,2010,65,57,361,315,"you,i,and,go,just,say,won't,let,with,me","go,say,let,wanna,we're,stay,know,grey,old,i'll",0.039,0.779,0.182,0.9957
best part,daniel caesar,2010,47,30,280,170,"you,me,if,the,i,won't,love,you're,oh,know","love,oh,know,say,something,see,best,part,wanna,life",0.015,0.704,0.281,0.9984
stay,rihanna,2010,34,24,245,173,"you,me,the,i,now,to,it,and,around,tell","around,tell,feel,way,something,want,know,really,sure,move",0.04,0.903,0.058,0.3189
the a team,ed sheeran,2010,67,40,335,197,"to,in,and,the,fly,a,for,angels,her,go","fly,angels,go,outside,face,life,tonight,say,class,team",0.174,0.704,0.122,-0.9481
you are the reason,calum scott,2010,38,26,214,156,"you,i,the,and,every,to,are,reason,need,my","every,reason,need,i'd,cause,come,goes,i'm,back,climb",0.1,0.812,0.088,-0.6959
the night we met,lord huron,2010,24,14,177,107,"the,to,you,i,me,night,and,of,take,back","night,take,back,met,oooooooooooooo,i'm,supposed,tell,none,know",0.113,0.876,0.011,-0.9558
a thousand years,christina perri,2010,37,21,219,118,"i,you,for,a,thousand,have,love,to,be,every","thousand,love,every,loved,years,afraid,one,step,closer,died",0.075,0.605,0.32,0.9975
lovely,billie eilish,2010,28,21,187,134,"i,a,of,it,to,my,out,but,all,place","place,can't,mind,hello,welcome,thought,found,way,never,go",0.082,0.715,0.203,0.9808
radioactive,imagine dragons,2010,33,15,220,101,"to,the,whoa,i'm,new,age,radioactive,my,in,i","whoa,i'm,new,age,radioactive,welcome,waking,bones,systems,feel",0.028,0.863,0.109,0.9495
all i ask,adele,2010,45,28,287,181,"i,me,is,this,do,a,what,the,if,my","like,i'm,matters,love,know,ask,last,night,hold,friend",0.114,0.701,0.185,0.9667
july,noah cyrus,2010,26,18,163,111,"you,to,me,i,i've,know,i'm,stay,the,leave","i've,know,i'm,stay,leave,tell,i'll,get,holding,back",0.058,0.772,0.17,0.9757
wake me up,avicii,2010,36,20,246,142,"i,was,i'm,know,and,when,all,didn't,lost,the","i'm,know,lost,wake,wiser,older,time,finding,tell,young",0.013,0.747,0.239,0.995
watermelon sugar,harry styles,2010,53,19,218,83,"sugar,watermelon,high,i,just,it,summer,and,wanna,taste","sugar,watermelon,high,summer,wanna,taste,like,breathe,strawberries,evening",0.0,0.874,0.126,0.9626
somebody that i used to know,gotye,2010,49,33,362,252,"that,i,you,to,and,somebody,used,know,your,now","somebody,used,know,like,need,said,could,love,make,friends",0.075,0.745,0.181,0.992
santa tell me,ariana grande,2010,47,25,377,197,"if,he,me,be,won't,i,next,tell,here,year","next,tell,year,santa,really,love,make,fall,cares,cause",0.025,0.765,0.21,0.9981
enchanted,taylor swift,2010,64,38,367,230,"you,i,was,to,don't,all,is,meet,the,it","meet,i'm,enchanted,please,night,let,go,wonderstruck,i'll,spend",0.036,0.779,0.185,0.9953
ocean eyes,billie eilish,2010,31,17,160,94,"ocean,eyes,those,you,your,i've,no,fair,really,know","ocean,eyes,i've,fair,really,know,make,cry,gimme,i'm",0.183,0.681,0.137,-0.8716
wellerman,the longest johns,2010,52,28,364,208,"the,and,to,when,tea,wellerman,take,go,soon,may","tea,wellerman,take,go,soon,may,come,bring,us,sugar",0.066,0.874,0.06,0.7077
stay with me,sam smith,2010,28,14,193,108,"oh,ohhh,with,me,i,stay,to,you,it's,but","oh,ohhh,stay,need,love,cause,ain't,clear,see,darling",0.103,0.643,0.254,0.9937
hello,adele,2010,42,25,325,197,"you,to,i,that,hello,i'm,it,the,anymore,but","hello,i'm,anymore,i've,sorry,tell,everything,say,done,side",0.083,0.878,0.039,-0.6802
runaway,aurora,2010,59,31,338,187,"i,home,take,me,and,a,now,where,belong,was","home,take,belong,running,can't,place,away,nobody,knows,oh",0.095,0.846,0.059,-0.9139
lover,taylor swift,2010,30,24,260,212,"my,and,you,we,take,me,this,i,can,go","take,go,lover,forever,ever,always,close,ah,home,could",0.035,0.74,0.225,0.9961
mary did you know,pentatonix,2010,16,16,193,193,"you,did,know,will,that,your,baby,the,mary,boy","know,baby,mary,boy,one,day,child,blind,lamb,walk",0.072,0.794,0.134,0.9136
goodness of god,bethel music,2010,65,19,398,123,"running,after,i,goodness,you,my,your,of,me,life","running,goodness,life,god,sing,faithful,good,every,breath,able",0.017,0.703,0.28,0.9989
noel,chris tomlin,2010,30,17,151,86,"the,no,,el,of,love,and,us,to,born",",el,love,us,born,god,world,noel,come,see",0.161,0.604,0.236,0.9686
say something,a great big world,2010,24,17,142,95,"you,i'm,i,say,something,giving,up,on,and,to","i'm,say,something,giving,anywhere,would've,followed,,one,love",0.017,0.78,0.203,0.9771
demons,imagine dragons,2010,63,39,306,193,"my,the,hide,its,where,demons,you,when,all,we","hide,demons,come,dont,made,inside,kingdom,eyes,want,feel",0.163,0.77,0.067,-0.9816
wildest dreams,taylor swift,2010,49,28,347,211,"oh,me,in,you'll,say,wildest,dreams,uh,the,and","oh,say,wildest,dreams,uh,see,even,he's,remember,standing",0.077,0.752,0.17,0.9907
night changes,one direction,2010,49,24,318,163,"of,it,you,changes,that,when,her,ever,the,night","changes,ever,night,never,everything,fast,baby,even,change,dreamed",0.11,0.866,0.025,-0.9782
cover me up,morgan wallen,2010,21,17,267,216,"the,i,to,and,me,this,so,up,was,we","aint,cover,know,youre,enough,use,good,someone,girl,leavin",0.045,0.814,0.141,0.9858
falling,harry styles,2010,29,17,241,145,"i'm,what,i,again,if,falling,and,you,am,now","i'm,falling,someone,fallin',want,around,talk,said,can't,bed",0.16,0.806,0.035,-0.9652
dancing on my own,calum scott,2010,29,19,263,161,"i'm,the,you,i,my,but,oh,see,all,on","i'm,oh,see,corner,watching,kiss,giving,guy,taking,home",0.054,0.832,0.115,0.9349
when the partys over,billie eilish,2010,22,16,195,116,"like,it,i,that,you,i'm,and,could,lie,say","like,i'm,could,lie,say,let,quiet,coming,home,call",0.051,0.605,0.344,0.9971
idontwannabeyouanymore,billie eilish,2010,28,21,161,115,"you,i,a,if,be,that,what,could,know,tell","could,know,tell,break,idontwannabeyou,way,wish,teardrops,bottled,there'd",0.139,0.676,0.185,0.7951
arcade,duncan laurence,2010,34,22,188,137,"i,all,a,oohooh,ooh,know,game,losing,is,carried","oohooh,ooh,know,game,losing,carried,oohoohooh,carry,loving,i'm",0.108,0.738,0.154,0.8957
im not the only one,sam smith,2010,37,22,245,146,"i,know,you,i'm,the,and,not,me,only,one","know,i'm,one,say,crazy,cause,think,done,call,baby",0.147,0.81,0.043,-0.9791
story of my life,one direction,2010,41,24,356,229,"the,story,of,i,my,her,life,in,is,that","story,life,gone,time,written,heart,open,i'll,drive,night",0.067,0.816,0.117,0.9612
jealous,labrinth,2010,47,29,298,174,"the,of,you,me,i'm,i,jealous,to,all,it's","i'm,jealous,oh,hard,say,way,happy,without,cause,wished",0.233,0.621,0.146,-0.9803
i love you,billie eilish,2010,31,25,190,152,"you,i,to,ooh,love,say,me,the,and,maybe","ooh,love,say,maybe,make,nothing,mean,want,tell,like",0.09,0.766,0.144,0.9421
set fire to the rain,adele,2010,46,31,339,223,"i,it,the,you,your,to,and,never,that,knew","never,knew,'cause,name,set,fire,rain,let,true,always",0.18,0.711,0.109,-0.9815
dandelions,ruth b ,2010,41,22,337,177,"of,that,the,you,mine,dandelions,wishing,on,i,in","mine,dandelions,wishing,time,one,i've,i'm,see,smile,never",0.018,0.645,0.337,0.9992
little talks,of monsters and men,2010,53,26,329,217,"hey,the,to,i,this,our,you,will,though,truth","hey,though,truth,may,vary,ship,carry,bodies,safe,shore",0.085,0.758,0.157,0.9789
just the way you are,bruno mars,2010,28,20,301,215,"you,i,the,her,ah,and,way,are,you're,just","ah,way,amazing,know,cause,see,change,girl,look,every",0.034,0.691,0.275,0.9983
skyfall,adele,2010,51,25,226,130,"and,it,the,we,stand,let,sky,fall,will,tall","stand,let,sky,fall,tall,crumbles,face,together,skyfall,end",0.054,0.883,0.063,0.6244
happier,ed sheeran,2010,32,30,242,226,"you,i,happier,do,but,look,that,like,to,aint","happier,look,like,aint,nobody,hurt,know,saw,baby,one",0.074,0.61,0.316,0.9973
jar of hearts,christina perri,2010,53,27,316,176,"you,your,i,back,who,do,think,are,and,don't","back,think,come,love,running,'round,leaving,scars,collecting,jar",0.03,0.833,0.137,0.9894
sign of the times,harry styles,2010,67,30,316,138,"we,the,here,bullets,away,from,get,your,before,stop","bullets,away,get,stop,crying,learn,we've,never,always,stuck",0.14,0.812,0.048,-0.9807
castle on the hill,ed sheeran,2010,38,29,347,273,",the,and,i,on,my,to,me,over,castle",",castle,hill,way,friends,years,old,can't,wait,go",0.047,0.883,0.07,0.9001
need you now,lady a lady antebellum,2010,20,14,216,145,"i,and,you,need,now,all,the,a,i'm,just","need,i'm,quarter,one,said,come,know,without,can't,wonder",0.069,0.84,0.091,0.3693
as the world caves in,matt maltese,2010,34,27,211,160,"the,as,and,i,in,it's,you,world,oh,with","world,oh,caves,lie,atom,bomb,locks,babe,say,we're",0.137,0.773,0.09,-0.9062
devil town,cavetown,2010,33,22,271,166,"i,in,my,a,another,feel,when,devil,town,you","another,feel,devil,town,little,something,least,that's,i'll,gonna",0.283,0.632,0.086,-0.997
line without a hook,ricky montgomery,2010,42,31,419,314,"i,you,a,oh,it,and,the,my,is,all","oh,i'm,like,feel,back,found,said,baby,would,bones",0.15,0.774,0.076,-0.9827
she used to be mine,sara bareilles,2010,39,36,268,246,"she,to,and,is,i,but,be,a,used,it's","used,mine,gone,know,i'm,true,messy,kind,lonely,time",0.167,0.698,0.134,-0.8216
oceans where feet may fail,hillsong united,2010,47,21,413,157,"my,me,and,the,will,you,in,call,upon,where","call,upon,feet,faith,spirit,lead,trust,without,borders,let",0.022,0.796,0.182,0.9964
titanium,david guetta,2010,40,17,233,99,",i,you,but,am,tita,ni,um,me,down",",tita,ni,um,shoot,fall,fire,away,i'm,ricochet",0.184,0.695,0.121,-0.9493
10000 reasons bless the lord,matt redman,2010,38,19,214,136,"my,soul,o,name,your,worship,holy,the,sing,and","soul,name,worship,holy,sing,lord,i'll,bless,like,never",0.039,0.678,0.283,0.9949
dance monkey,tones and i,2010,40,23,416,228,"me,for,you,dance,i,do,move,and,see,say","dance,move,see,say,make,oh,time,ay,ohohoh,never",0.03,0.923,0.048,0.6908
too good at goodbyes,sam smith,2010,42,24,392,207,"you,i'm,way,me,the,too,no,i,good,at","i'm,way,good,goodbyes,every,time,less,cry,leave,never",0.255,0.591,0.154,-0.9905
back to december,taylor swift,2010,51,40,429,328,"i,you,and,the,to,back,me,go,time,december","back,go,time,december,i'd,i'm,mind,night,realized,turn",0.058,0.767,0.175,0.9962
love in the dark,adele,2010,43,33,259,213,"i,you,me,to,don't,the,it,we're,can't,in","we're,can't,love,like,apart,everything,i'm,stay,dark,feels",0.182,0.697,0.121,-0.9578
bruises,lewis capaldi,2010,47,24,322,175,"you,my,i,in,i'm,the,love,and,lost,i've","i'm,love,lost,i've,every,'cause,must,something,left,told",0.078,0.75,0.172,0.9907
stitches,shawn mendes,2010,55,23,331,159,"you,i'm,and,i,that,my,the,your,now,i'll","i'm,i'll,needle,thread,without,kisses,needing,stitches,get,head",0.185,0.706,0.109,-0.9872
shape of you,ed sheeran,2010,76,31,597,277,"on,my,and,come,in,love,i'm,with,the,your","come,love,i'm,body,like,baby,follow,lead,shape,every",0.022,0.751,0.227,0.9993
red,taylor swift,2010,50,41,326,271,"him,was,like,re,ee,ed,red,to,all,never","like,ee,ed,red,never,loving,yeah,tryin',losing,blue",0.09,0.646,0.265,0.9969
everything has changed,taylor swift,2010,51,30,445,234,"know,you,i,all,better,is,and,just,want,to","know,better,want,everything,changed,like,since,i'll,eyes,said",0.012,0.752,0.236,0.9984
bellyache,billie eilish,2010,46,28,190,115,"my,i,mind,where's,the,in,for,it's,i'm,maybe","mind,where's,i'm,maybe,gutter,left,lover,expensive,fake,v",0.088,0.732,0.18,0.9612
havana,camila cabello,2010,60,41,451,329,"na,me,havana,back,ooh,in,my,is,heart,on","na,havana,back,ooh,heart,oh,like,take,east,atlanta",0.034,0.872,0.094,0.9825
first love late spring,mitski,2010,43,28,195,123,"i,me,don't,the,you,so,of,please,and,a","please,hurry,leave,can't,breathe,one,word,would,jump,ledge",0.087,0.782,0.131,0.8763
feathered indians,tyler childers,2010,28,20,245,194,"the,i,to,my,me,you,hold,on,there,sing","hold,sing,i'd,bullets,well,little,feathered,ain't,leave,close",0.046,0.823,0.131,0.979
